ID,trial,image,choice,correct,point,reaction_time
1,1,00001iii.png,ask,0,0,2.0390881659986917
1,2,00010tki.png,steal,0,0,1.2906001670053229
1,3,11111xxx.png,wave,0,0,4.850133917003404
